event_record_id,timestamp,event_id,channel,host,user,domain,src_ip,logon_type,status,sub_status,outcome
100001,2026-09-21T06:00:00Z,4624,Security,SRV-BKP-01,svc_backup,LAB,10.10.1.20,5,0x0,0x0,success
100002,2026-09-21T06:05:00Z,4624,Security,SRV-FILE-01,svc_backup,LAB,10.10.1.20,3,0x0,0x0,success
100003,2026-09-21T10:01:05Z,4624,Security,WS-005,daniel.rocha,LAB,10.10.20.15,2,0x0,0x0,success
100004,2026-09-21T10:05:24Z,4624,Security,WS-012,maria.souza,LAB,10.10.20.22,2,0x0,0x0,success
100005,2026-09-21T10:32:38Z,4624,Security,WS-006,eduarda.alves,LAB,10.10.20.16,2,0x0,0x0,success
100006,2026-09-21T10:44:27Z,4624,Security,WS-010,juliana.ramos,LAB,10.10.20.20,2,0x0,0x0,success
100007,2026-09-21T11:01:05Z,4624,Security,SRV-FILE-01,daniel.rocha,LAB,10.10.20.15,3,0x0,0x0,success
100008,2026-09-21T11:05:24Z,4624,Security,SRV-FILE-01,maria.souza,LAB,10.10.20.22,3,0x0,0x0,success
100009,2026-09-21T11:09:13Z,4624,Security,WS-011,lucas.ferreira,LAB,10.10.20.21,2,0x0,0x0,success
100010,2026-09-21T11:12:00Z,4625,Security,WS-002,bruno.costa,LAB,10.10.20.12,2,0xC000006D,0xC000006A,failure
100011,2026-09-21T11:12:20Z,4625,Security,WS-002,bruno.costa,LAB,10.10.20.12,2,0xC000006D,0xC000006A,failure
100012,2026-09-21T11:12:45Z,4624,Security,WS-002,bruno.costa,LAB,10.10.20.12,2,0x0,0x0,success
100013,2026-09-21T11:15:14Z,4624,Security,WS-002,bruno.costa,LAB,10.10.20.12,2,0x0,0x0,success
100014,2026-09-21T11:32:38Z,4624,Security,SRV-FILE-01,eduarda.alves,LAB,10.10.20.16,3,0x0,0x0,success
100015,2026-09-21T11:34:07Z,4624,Security,WS-015,tiago.barbosa,LAB,10.10.20.25,2,0x0,0x0,success
100016,2026-09-21T11:37:17Z,4624,Security,WS-009,joao.silva,LAB,10.10.20.19,2,0x0,0x0,success
100017,2026-09-21T11:51:02Z,4624,Security,WS-014,renata.gomes,LAB,10.10.20.24,2,0x0,0x0,success
100018,2026-09-21T11:54:22Z,4624,Security,WS-013,paulo.teixeira,LAB,10.10.20.23,2,0x0,0x0,success
100019,2026-09-21T12:05:00Z,4625,Security,WS-011,lucas.ferreira,LAB,10.10.20.21,2,0xC000006D,0xC000006A,failure
