event_record_id,timestamp,event_id,channel,host,user,domain,src_ip,logon_type,status,sub_status,outcome
33891,2026-09-15T08:55:02-03:00,4624,Security,WS-044,joao.silva,LAB,127.0.0.1,2,,,success
551205,2026-09-15T09:00:14-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,10.20.1.44,10,0xC000006D,0xC000006A,failure
551206,2026-09-15T09:00:31-03:00,4624,Security,SRV-RDP-01,joao.silva,LAB,10.20.1.44,10,,,success
902312,2026-09-15T09:20:07-03:00,4624,Security,SRV-FILE-01,ana.pereira,LAB,10.20.1.21,3,,,success
551207,2026-09-15T17:32:45-03:00,4624,Security,SRV-RDP-01,bruno.costa,LAB,10.20.1.33,10,,,success
551208,2026-09-15T21:48:03-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551209,2026-09-15T21:48:24-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551210,2026-09-15T21:48:46-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551211,2026-09-15T21:49:01-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551212,2026-09-15T21:49:27-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551213,2026-09-15T21:49:50-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551214,2026-09-15T21:50:22-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551215,2026-09-15T21:50:43-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551216,2026-09-15T21:51:11-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551217,2026-09-15T21:51:42-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551218,2026-09-15T21:52:09-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551219,2026-09-15T21:53:04-03:00,4625,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,0xC000006D,0xC000006A,failure
551220,2026-09-15T21:54:08-03:00,4624,Security,SRV-RDP-01,joao.silva,LAB,203.0.113.50,10,,,success
