event_record_id,timestamp,event_id,channel,host,user,domain,src_ip,logon_type,status,sub_status,outcome
1203341,2026-09-16T09:41:20-03:00,4624,Security,SRV-SQL-01,paulo.teixeira,LAB,10.20.1.52,3,,,success
1203342,2026-09-16T09:50:00-03:00,4624,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,,,success
1203343,2026-09-16T09:52:00-03:00,4624,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,,,success
1203344,2026-09-16T09:54:00-03:00,4624,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,,,success
1203345,2026-09-16T09:56:00-03:00,4624,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,,,success
1203346,2026-09-16T09:58:00-03:00,4624,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,,,success
1203347,2026-09-16T10:00:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203348,2026-09-16T10:02:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203349,2026-09-16T10:04:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203350,2026-09-16T10:06:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203351,2026-09-16T10:08:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203352,2026-09-16T10:10:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203353,2026-09-16T10:12:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203354,2026-09-16T10:14:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203355,2026-09-16T10:16:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203356,2026-09-16T10:18:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203357,2026-09-16T10:20:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203358,2026-09-16T10:22:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203359,2026-09-16T10:24:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203360,2026-09-16T10:26:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203361,2026-09-16T10:28:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203362,2026-09-16T10:30:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203363,2026-09-16T10:32:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203364,2026-09-16T10:34:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203365,2026-09-16T10:36:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203366,2026-09-16T10:38:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203367,2026-09-16T10:40:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203368,2026-09-16T10:42:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203369,2026-09-16T10:44:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203370,2026-09-16T10:46:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203371,2026-09-16T10:48:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
1203372,2026-09-16T10:50:00-03:00,4625,Security,SRV-SQL-01,svc_relatorios,LAB,10.20.5.15,3,0xC000006D,0xC000006A,failure
